Tree,Source,Row,Column,Block,Population,State,Country,Longitude,Latitude,Elevation
2101_55_C,2101,55,C,eleven,Corberrie,Nova-Scotia,Canada,-65.9,44.16667,60
2019_56_C,2019,56,C,twelve,Indian_Gap,North_Carolina,USA,-83.45,35.6,1620
2019_57_C,2019,57,C,twelve,Indian_Gap,North_Carolina,USA,-83.45,35.6,1620
2019_58_C,2019,58,C,twelve,Indian_Gap,North_Carolina,USA,-83.45,35.6,1620
2019_59_C,2019,59,C,twelve,Indian_Gap,North_Carolina,USA,-83.45,35.6,1620
2019_60_C,2019,60,C,twelve,Indian_Gap,North_Carolina,USA,-83.45,35.6,1620
2027_1_D,2027,1,D,one,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500
2027_2_D,2027,2,D,one,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500
2027_3_D,2027,3,D,one,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500
2027_4_D,2027,4,D,one,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500
2027_5_D,2027,5,D,one,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500
2505_6_D,2505,6,D,two,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60
2505_7_D,2505,7,D,two,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60
2505_8_D,2505,8,D,two,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60
2505_9_D,2505,9,D,two,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60
2505_10_D,2505,10,D,two,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60
2022_11_D,2022,11,D,three,October_Mtn_State_Forest,Massachusetts,USA,-73.25,42.36667,550
2022_12_D,2022,12,D,three,October_Mtn_State_Forest,Massachusetts,USA,-73.25,42.36667,550
2022_13_D,2022,13,D,three,October_Mtn_State_Forest,Massachusetts,USA,-73.25,42.36667,550
2022_14_D,2022,14,D,three,October_Mtn_State_Forest,Massachusetts,USA,-73.25,42.36667,550
2022_15_D,2022,15,D,three,October_Mtn_State_Forest,Massachusetts,USA,-73.25,42.36667,550
2100_16_D,2100,16,D,four,Sheet_Harbour_Waters,Nova-Scotia,Canada,-62.73333,45.2,60
2100_17_D,2100,17,D,four,Sheet_Harbour_Waters,Nova-Scotia,Canada,-62.73333,45.2,60
2100_18_D,2100,18,D,four,Sheet_Harbour_Waters,Nova-Scotia,Canada,-62.73333,45.2,60
2100_19_D,2100,19,D,four,Sheet_Harbour_Waters,Nova-Scotia,Canada,-62.73333,45.2,60
2100_20_D,2100,20,D,four,Sheet_Harbour_Waters,Nova-Scotia,Canada,-62.73333,45.2,60
2021_21_D,2021,21,D,five,Bear_Meadows,Pennsylvania,USA,-77.75,40.7291,550
2021_22_D,2021,22,D,five,Bear_Meadows,Pennsylvania,USA,-77.75,40.7291,550
2021_23_D,2021,23,D,five,Bear_Meadows,Pennsylvania,USA,-77.75,40.7291,550
2021_24_D,2021,24,D,five,Bear_Meadows,Pennsylvania,USA,-77.75,40.7291,550
2021_25_D,2021,25,D,five,Bear_Meadows,Pennsylvania,USA,-77.75,40.7291,550
2020_26_D,2020,26,D,six,Glade_Run,West_Virginia,USA,-79.83333,38.63333,1160
2020_27_D,2020,27,D,six,Glade_Run,West_Virginia,USA,-79.83333,38.63333,1160
2020_28_D,2020,28,D,six,Glade_Run,West_Virginia,USA,-79.83333,38.63333,1160
2020_29_D,2020,29,D,six,Glade_Run,West_Virginia,USA,-79.83333,38.63333,1160
2020_30_D,2020,30,D,six,Glade_Run,West_Virginia,USA,-79.83333,38.63333,1160
2024_31_D,2024,31,D,seven,Upper_Jay,New-York,USA,-73.66667,44.41667,610
2024_32_D,2024,32,D,seven,Upper_Jay,New-York,USA,-73.66667,44.41667,610
2024_33_D,2024,33,D,seven,Upper_Jay,New-York,USA,-73.66667,44.41667,610
2024_34_D,2024,34,D,seven,Upper_Jay,New-York,USA,-73.66667,44.41667,610
2024_35_D,2024,35,D,seven,Upper_Jay,New-York,USA,-73.66667,44.41667,610
2103_36_D,2103,36,D,eight,Centra_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.33333,46.03333,60
2103_37_D,2103,37,D,eight,Centra_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.33333,46.03333,60
2103_38_D,2103,38,D,eight,Centra_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.33333,46.03333,60
2103_39_D,2103,39,D,eight,Centra_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.33333,46.03333,60
2103_40_D,2103,40,D,eight,Centra_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.33333,46.03333,60
2030_41_D,2030,41,D,nine,Amherst,Maine,USA,-68.38333,44.9,150
2030_42_D,2030,42,D,nine,Amherst,Maine,USA,-68.38333,44.9,150
2030_43_D,2030,43,D,nine,Amherst,Maine,USA,-68.38333,44.9,150
2030_44_D,2030,44,D,nine,Amherst,Maine,USA,-68.38333,44.9,150
2030_45_D,2030,45,D,nine,Amherst,Maine,USA,-68.38333,44.9,150
2032_46_D,2032,46,D,ten,Valcartier_Forest_Experimental_Station,Quebec,Canada,-71.55,46.91667,270
2032_47_D,2032,47,D,ten,Valcartier_Forest_Experimental_Station,Quebec,Canada,-71.55,46.91667,270
2032_48_D,2032,48,D,ten,Valcartier_Forest_Experimental_Station,Quebec,Canada,-71.55,46.91667,270
2032_49_D,2032,49,D,ten,Valcartier_Forest_Experimental_Station,Quebec,Canada,-71.55,46.91667,270
2032_50_D,2032,50,D,ten,Valcartier_Forest_Experimental_Station,Quebec,Canada,-71.55,46.91667,270
2101_51_D,2101,51,D,eleven,Corberrie,Nova-Scotia,Canada,-65.9,44.16667,60
2101_52_D,2101,52,D,eleven,Corberrie,Nova-Scotia,Canada,-65.9,44.16667,60
2101_53_D,2101,53,D,eleven,Corberrie,Nova-Scotia,Canada,-65.9,44.16667,60
2101_54_D,2101,54,D,eleven,Corberrie,Nova-Scotia,Canada,-65.9,44.16667,60
2101_55_D,2101,55,D,eleven,Corberrie,Nova-Scotia,Canada,-65.9,44.16667,60
2019_56_D,2019,56,D,twelve,Indian_Gap,North_Carolina,USA,-83.45,35.6,1620
2019_57_D,2019,57,D,twelve,Indian_Gap,North_Carolina,USA,-83.45,35.6,1620
2019_58_D,2019,58,D,twelve,Indian_Gap,North_Carolina,USA,-83.45,35.6,1620
2019_59_D,2019,59,D,twelve,Indian_Gap,North_Carolina,USA,-83.45,35.6,1620
2019_60_D,2019,60,D,twelve,Indian_Gap,North_Carolina,USA,-83.45,35.6,1620
2027_1_E,2027,1,E,one,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500
2027_2_E,2027,2,E,one,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500
2027_3_E,2027,3,E,one,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500
2027_4_E,2027,4,E,one,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500
2027_5_E,2027,5,E,one,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500
2505_6_E,2505,6,E,two,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60
2505_7_E,2505,7,E,two,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60
2505_8_E,2505,8,E,two,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60
2505_9_E,2505,9,E,two,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60
